graph_id,start_node,end_node,speed,risk,cost,utility
Town01_T-Intersection,v_10_1,v_11_1,10,0.001,3.6000000117725293,96.39999998822748
Town01_T-Intersection,v_10_1,v_11_1,15,0.001,2.4000000078483525,97.59999999215165
Town01_T-Intersection,v_10_1,v_11_1,20,0.001,1.8000000058862646,98.19999999411374
Town01_T-Intersection,v_10_1,v_11_1,25,0.001,1.4400000047090116,98.559999995291
Town01_T-Intersection,v_10_1,v_11_1,30,0.001,1.2000000039241763,98.79999999607583
Town01_T-Intersection,v_10_1,v_11_1,5,0.001,7.2000000235450585,92.79999997645494
Town01_T-Intersection,v_10_1,v_11_2,10,0.001,13.625346265302742,86.37465373469726
Town01_T-Intersection,v_10_1,v_11_2,15,0.001,12.416897510201828,87.58310248979816
Town01_T-Intersection,v_10_1,v_11_2,20,0.001,11.812673132651371,88.18732686734863
Town01_T-Intersection,v_10_1,v_11_2,25,0.001,11.450138506121096,88.54986149387891
Town01_T-Intersection,v_10_1,v_11_2,30,0.001,11.208448755100914,88.79155124489908
Town01_T-Intersection,v_10_1,v_11_2,5,0.001,17.250692530605484,82.74930746939452
Town01_T-Intersection,v_10_1,v_11_5,10,0.001,43.99551366517546,56.00448633482454
Town01_T-Intersection,v_10_1,v_11_5,15,0.001,42.66367577678364,57.33632422321636
Town01_T-Intersection,v_10_1,v_11_5,20,0.001,41.99775683258773,58.00224316741227
Town01_T-Intersection,v_10_1,v_11_5,25,0.001,41.59820546607018,58.40179453392982
Town01_T-Intersection,v_10_1,v_11_5,30,0.001,41.33183788839182,58.66816211160818
Town01_T-Intersection,v_10_1,v_11_5,5,0.001,47.991027330350924,52.008972669649076
Town01_T-Intersection,v_10_1,v_11_3,10,0.001,23.700858132529408,76.2991418674706
Town01_T-Intersection,v_10_1,v_11_3,15,0.001,22.467238755019604,77.53276124498039
Town01_T-Intersection,v_10_1,v_11_3,20,0.001,21.850429066264706,78.14957093373529
Town01_T-Intersection,v_10_1,v_11_3,25,0.001,21.480343253011764,78.51965674698823
Town01_T-Intersection,v_10_1,v_11_3,30,0.001,21.233619377509804,78.7663806224902
Town01_T-Intersection,v_10_1,v_11_3,5,0.001,27.401716265058816,72.59828373494119
Town01_T-Intersection,v_10_1,v_11_4,10,0.001,33.82502651657827,66.17497348342172
Town01_T-Intersection,v_10_1,v_11_4,15,0.001,32.55001767771884,67.44998232228116
Town01_T-Intersection,v_10_1,v_11_4,20,0.001,31.912513258289135,68.08748674171086
Town01_T-Intersection,v_10_1,v_11_4,25,0.001,31.530010606631308,68.46998939336869
