graph_id,start_node,end_node,speed,risk,cost,utility
Town05_Highway2,v_23_2,v_24_2,10,0.7943299568073937,5.400000002863315,94.59999999713668
Town05_Highway2,v_23_2,v_24_2,15,0.13442246447413994,3.6000000019088767,96.39999999809112
Town05_Highway2,v_23_2,v_24_2,20,0.9735585959750296,2.7000000014316576,97.29999999856834
Town05_Highway2,v_23_2,v_24_2,25,0.7435226165104512,2.160000001145326,97.83999999885468
Town05_Highway2,v_23_2,v_24_2,30,0.7432123674637391,1.8000000009544384,98.19999999904556
Town05_Highway2,v_23_2,v_24_2,5,0.3550601534685097,10.80000000572663,89.19999999427337
Town05_Highway2,v_23_2,v_24_1,10,0.36435789450116085,15.55164382570719,84.44835617429281
Town05_Highway2,v_23_2,v_24_1,15,0.49383408245248683,13.701095883804793,86.2989041161952
Town05_Highway2,v_23_2,v_24_1,20,0.6803368529449741,12.775821912853594,87.22417808714641
Town05_Highway2,v_23_2,v_24_1,25,0.31799065735703586,12.220657530282875,87.77934246971712
Town05_Highway2,v_23_2,v_24_1,30,0.8871588829506466,11.850547941902397,88.14945205809761
Town05_Highway2,v_23_2,v_24_1,5,0.6845594337748705,21.10328765141438,78.89671234858562
Town05_Highway2,v_23_2,v_24_3,10,0.12390945202379545,15.55169714612626,84.44830285387374
Town05_Highway2,v_23_2,v_24_3,15,0.998219826920548,13.70113143075084,86.29886856924917
Town05_Highway2,v_23_2,v_24_3,20,0.35178783301571825,12.77584857306313,87.22415142693687
Town05_Highway2,v_23_2,v_24_3,25,0.30597152436092945,12.220678858450505,87.7793211415495
Town05_Highway2,v_23_2,v_24_3,30,0.9395647022722439,11.85056571537542,88.14943428462458
Town05_Highway2,v_23_2,v_24_3,5,0.9991803646458817,21.10339429225252,78.89660570774748
Town05_Highway2,v_23_1,v_24_2,10,0.001,15.551665098025126,84.44833490197487
Town05_Highway2,v_23_1,v_24_2,15,0.001,13.701110065350083,86.29888993464992
Town05_Highway2,v_23_1,v_24_2,20,0.001,12.775832549012563,87.22416745098744
Town05_Highway2,v_23_1,v_24_2,25,0.001,12.22066603921005,87.77933396078996
Town05_Highway2,v_23_1,v_24_2,30,0.001,11.850555032675041,88.14944496732495
Town05_Highway2,v_23_1,v_24_2,5,0.001,21.10333019605025,78.89666980394975
Town05_Highway2,v_23_1,v_24_1,10,0.001,5.399967046640193,94.6000329533598
Town05_Highway2,v_23_1,v_24_1,15,0.001,3.5999780310934617,96.40002196890654
Town05_Highway2,v_23_1,v_24_1,20,0.001,2.6999835233200966,97.3000164766799
Town05_Highway2,v_23_1,v_24_1,25,0.001,2.159986818656077,97.84001318134392
Town05_Highway2,v_23_1,v_24_1,30,0.001,1.7999890155467309,98.20001098445327
Town05_Highway2,v_23_1,v_24_1,5,0.001,10.799934093280386,89.20006590671962
Town05_Highway2,v_23_1,v_24_3,10,0.8504499583230234,25.994718412340834,74.00528158765917
Town05_Highway2,v_23_1,v_24_3,15,0.7621373497609452,23.996478941560554,76.00352105843945
Town05_Highway2,v_23_1,v_24_3,20,0.9850620265885602,22.997359206170415,77.00264079382958
Town05_Highway2,v_23_1,v_24_3,25,0.91509310929722,22.397887364936334,77.60211263506366
Town05_Highway2,v_23_1,v_24_3,30,0.1289757179676628,21.998239470780277,78.00176052921972
Town05_Highway2,v_23_1,v_24_3,5,0.32304481672371543,31.98943682468167,68.01056317531834
Town05_Highway2,v_24_2,v_25_2,10,0.001,5.39999998821678,94.60000001178322
Town05_Highway2,v_24_2,v_25_2,15,0.001,3.59999999214452,96.40000000785548
Town05_Highway2,v_24_2,v_25_2,20,0.001,2.69999999410839,97.3000000058916
