graph_id,start_node,end_node,speed,risk,cost,utility
Town01_T-Intersection,v_7_3,v_8_1,10,0.768079972929403,23.700877930139917,76.29912206986009
Town01_T-Intersection,v_7_3,v_8_1,15,0.14937912057239944,22.46725195342661,77.53274804657339
Town01_T-Intersection,v_7_3,v_8_1,20,0.5607729799874039,21.85043896506996,78.14956103493004
Town01_T-Intersection,v_7_3,v_8_1,25,0.7311955314644664,21.48035117205597,78.51964882794402
Town01_T-Intersection,v_7_3,v_8_1,30,0.9789742455928776,21.233625976713306,78.76637402328669
Town01_T-Intersection,v_7_3,v_8_1,5,0.10045860486752217,27.401755860279835,72.59824413972017
Town01_T-Intersection,v_7_3,v_8_7,10,0.001,43.99550396731523,56.00449603268477
Town01_T-Intersection,v_7_3,v_8_7,15,0.001,42.66366931154349,57.33633068845651
Town01_T-Intersection,v_7_3,v_8_7,20,0.001,41.997751983657615,58.002248016342385
Town01_T-Intersection,v_7_3,v_8_7,25,0.001,41.598201586926095,58.401798413073905
Town01_T-Intersection,v_7_3,v_8_7,30,0.001,41.33183465577174,58.66816534422826
Town01_T-Intersection,v_7_3,v_8_7,5,0.001,47.99100793463046,52.00899206536954
Town01_T-Intersection,v_7_3,v_8_6,10,0.001,33.82502305002833,66.17497694997166
Town01_T-Intersection,v_7_3,v_8_6,15,0.001,32.55001536668555,67.44998463331444
Town01_T-Intersection,v_7_3,v_8_6,20,0.001,31.912511525014164,68.08748847498583
Town01_T-Intersection,v_7_3,v_8_6,25,0.001,31.53000922001133,68.46999077998868
Town01_T-Intersection,v_7_3,v_8_6,30,0.001,31.275007683342775,68.72499231665722
Town01_T-Intersection,v_7_3,v_8_6,5,0.001,37.650046100056656,62.349953899943344
Town01_T-Intersection,v_7_3,v_8_2,10,0.19507799959899574,13.625364562627126,86.37463543737287
Town01_T-Intersection,v_7_3,v_8_2,15,0.5777200561964465,12.416909708418086,87.58309029158191
Town01_T-Intersection,v_7_3,v_8_2,20,0.19281067395398543,11.812682281313563,88.18731771868644
