graph_id,epoch,start_node,goal_node,candidate_index,risk,cost,utility,frenet_progress,time_progress,ratio,num_edges,path_nodes
Town01_T-Intersection,0,v_0_0,v_7_6,0,0.9014121087186717,68.85529190274457,6931.144708097255,86.0000000731799,88.30824858824171,7689.2074568974385,7,v_0_0 > v_1_2 > v_2_3 > v_3_3 > v_4_3 > v_5_3 > v_6_6 > v_7_6
Town01_T-Intersection,0,v_0_0,v_7_6,1,1.8207266570576945,68.61529190195972,6931.38470809804,86.0000000731799,88.30824858824171,3806.9331721100853,7,v_0_0 > v_1_2 > v_2_3 > v_3_3 > v_4_3 > v_5_3 > v_6_6 > v_7_6
Town01_T-Intersection,0,v_0_0,v_7_6,2,2.4997297626831907,68.55001509510748,6931.4499849048925,85.0000000831799,88.69990942935507,2772.8797281929897,7,v_0_0 > v_1_3 > v_2_3 > v_3_3 > v_4_3 > v_5_3 > v_6_6 > v_7_6
Town01_T-Intersection,0,v_0_0,v_7_6,3,3.82996326012599,68.51707306827618,6931.482926931724,84.00000009317989,88.89756159034292,1809.8040258233984,7,v_0_0 > v_1_3 > v_2_3 > v_3_3 > v_4_3 > v_5_5 > v_6_5 > v_7_6
Town01_T-Intersection,0,v_0_0,v_7_6,4,5.2260434806161395,68.50035178457068,6931.499648215429,85.0000000831799,88.9978892925759,1326.337921589244,7,v_0_0 > v_1_3 > v_2_3 > v_3_3 > v_4_3 > v_5_4 > v_6_5 > v_7_6
Town01_T-Intersection,0,v_0_0,v_7_6,5,6.2358239534380795,68.45051490945889,6931.549485090542,75.00000018317989,89.29691054324668,1111.569142561967,7,v_0_0 > v_1_4 > v_2_4 > v_3_5 > v_4_6 > v_5_6 > v_6_6 > v_7_6
Town01_T-Intersection,0,v_0_0,v_7_6,6,9.247105432440433,68.45051480703324,6931.549485192967,74.00000019317989,89.29691115780058,749.5912678659315,7,v_0_0 > v_1_4 > v_2_5 > v_3_5 > v_4_6 > v_5_6 > v_6_6 > v_7_6
Town01_T-Intersection,1,v_7_6,v_10_6,0,0.872625952974678,28.433794050485858,2971.5662059495144,29.000000110117178,38.298625631964356,3405.314952895681,3,v_7_6 > v_8_7 > v_9_6 > v_10_6
Town01_T-Intersection,1,v_7_6,v_10_6,1,1.796339635727104,27.22534302910439,2972.7746569708956,31.000000090117176,38.29862272661854,1654.906788140655,3,v_7_6 > v_8_5 > v_9_6 > v_10_6
Town01_T-Intersection,1,v_7_6,v_10_6,2,2.6535349852086325,9.000000029880315,2990.99999997012,30.000000100117177,38.39999992846681,1127.1756417920205,3,v_7_6 > v_8_6 > v_9_6 > v_10_6
Town01_T-Intersection,1,v_7_6,v_10_6,3,3.1526825293344984,6.600000021732643,2993.3999999782673,30.000000100117177,38.39999992846681,949.4771427588511,3,v_7_6 > v_8_6 > v_9_6 > v_10_6
Town01_T-Intersection,1,v_7_6,v_10_6,4,4.082790042800418,6.0000000197705505,2993.9999999802294,30.000000100117177,38.39999992846681,733.3220588356833,3,v_7_6 > v_8_6 > v_9_6 > v_10_6
Town01_T-Intersection,1,v_7_6,v_10_6,5,5.308034254123526,4.20000001388429,2995.799999986116,30.000000100117177,38.39999992846681,564.3897263207825,3,v_7_6 > v_8_6 > v_9_6 > v_10_6
Town01_T-Intersection,1,v_7_6,v_10_6,6,6.238141767589445,3.6000000119221975,2996.399999988078,30.000000100117177,38.39999992846681,480.33534850971375,3,v_7_6 > v_8_6 > v_9_6 > v_10_6
Town01_T-Intersection,2,v_10_6,v_13_6,0,0.8214196752044113,4.7734526114153235,2995.2265473885845,29.70039106813124,38.559284355053165,3646.4022445569235,3,v_10_6 > v_11_6 > v_12_6 > v_13_6
Town01_T-Intersection,2,v_10_6,v_13_6,1,1.1267036084894906,4.17345260945323,2995.8265473905467,29.70039106813124,38.559284355053165,2658.930463005161,3,v_10_6 > v_11_6 > v_12_6 > v_13_6
Town01_T-Intersection,2,v_10_6,v_13_6,2,2.2280036753114496,3.5734526074911384,2996.426547392509,29.70039106813124,38.559284355053165,1344.893000220766,3,v_10_6 > v_11_6 > v_12_6 > v_13_6
Town01_T-Intersection,3,v_13_6,v_20_6,0,0.8742200337579982,33.70503799027314,6966.294962009726,69.96306460690693,90.27112276726501,7968.583071774054,7,v_13_6 > v_14_5 > v_15_5 > v_16_6 > v_17_6 > v_18_6 > v_19_6 > v_20_6
Town01_T-Intersection,3,v_13_6,v_20_6,1,1.6922611115136719,30.088144545509547,6969.911855454489,71.96306458690695,90.27111821915258,4118.69764543613,7,v_13_6 > v_14_5 > v_15_5 > v_16_5 > v_17_5 > v_18_6 > v_19_6 > v_20_6
Town01_T-Intersection,3,v_13_6,v_20_6,2,2.717195449788113,28.760378016316054,6971.239621983684,61.96306469004067,91.34866124860552,2565.6010952496267,7,v_13_6 > v_14_7 > v_15_7 > v_16_7 > v_17_7 > v_18_7 > v_19_7 > v_20_6
Town01_T-Intersection,3,v_13_6,v_20_6,3,3.678389689292461,12.113539356406912,6987.886460643593,67.96306462847377,90.905781474935,1899.7134754332442,7,v_13_6 > v_14_6 > v_15_6 > v_16_6 > v_17_6 > v_18_6 > v_19_6 > v_20_6
Town01_T-Intersection,3,v_13_6,v_20_6,4,4.941821224305016,9.208603718427652,6990.791396281573,67.96306462847377,90.905781474935,1414.618432957317,7,v_13_6 > v_14_6 > v_15_6 > v_16_6 > v_17_6 > v_18_6 > v_19_6 > v_20_6
Town01_T-Intersection,3,v_13_6,v_20_6,5,5.241785575724617,8.968603674613773,6991.031396325387,67.96306462847377,90.905781474935,1333.7118230668864,7,v_13_6 > v_14_6 > v_15_6 > v_16_6 > v_17_6 > v_18_6 > v_19_6 > v_20_6
